,clouds,date,humidity,temp,type,visibility,windSpeed,zipcode,day_of_week,is_weekend_False,is_weekend_True,month,season_fall,season_spring,season_summer,season_winter,part_of_day_afternoon,part_of_day_evening,part_of_day_morning,part_of_day_night,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
CFDB9498-809D-4232-8281-9E7CA354D59B,40,2018-12-01T17:27:45.102Z,55,42.0,0,10.0,4.0,10923,5,1,0,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2A429A89-2491-4082-9622-D06E370D091A,20,2018-06-26T21:35:35.489Z,46,75.0,0,10.0,11.0,10923,1,1,0,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4F20435C-DF07-4D4E-BF43-BE54C4A967F6,40,2018-07-29T23:47:46.745Z,42,79.0,0,10.0,2.0,10901,6,0,1,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
4A1A66D3-53DE-491F-B1FC-7E12CE4FC35E,40,2018-07-14T20:26:08.310Z,40,88.0,0,10.0,4.0,10954,5,1,0,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
B9F9226B-3048-4954-830C-52D0524B7415,1,2018-07-02T10:49:06.384Z,94,72.0,0,3.0,2.0,10977,0,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0A7AAD40-E2E0-48D4-A59D-C435744663BD,20,2018-05-02T21:48:45.189Z,35,73.0,0,10.0,5.0,95113,2,1,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1DC4BEF2-664B-45F7-B6A5-2C6B51B41FEF,75,2018-05-01T15:15:32.550Z,76,50.0,0,10.0,6.0,95113,1,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
B314AD96-0826-4A24-8410-22E266144CA1,90,2018-08-13T12:47:46.350Z,94,71.0,0,9.0,5.0,10923,0,1,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
C8164FB1-DFA9-4DD0-88F9-CEBF156FCF38,40,2018-06-15T18:22:45.137Z,40,72.0,0,10.0,5.0,10901,4,1,0,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5b0dcc40-680b-11e8-b79d-bf818eb3fc0d,75,2018-06-04T15:24:21.637Z,77,58.0,0,10.0,9.0,10701,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
