,clouds,date,humidity,lat,location,lon,pressure,temp,type,userId,visibility,weatherCond,windDeg,windSpeed,zipcode,device,zip
01125B66-EB0B-455F-8672-48E6413510A5,1,2018-01-09T17:45:30.285Z,48,41.20000076293945,West Haverstraw,-73.98999786376953,1020,40.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,300.0,17.0,10923,IOS,
01EAB7E7-D5EB-407A-A307-CC8CEF6AB7F0,90,2017-06-16T15:22:38.745Z,82,40.73,Hoboken,-74.04,1015,65.0,1,DvGx1A7L7wNN9Han9GjEm08Mb7t2,16093,,130.0,6.0,07310,IOS,
0230E916-2DDC-4721-AC51-441FD7A60F39,90,2017-05-29T14:36:44.802Z,100,41.2,West Haverstraw,-73.99,1014,56.0,1,6eUdqOHk4YhcgJo2CqkSv8PI7ZF3,4828,,116.501,3.0,10923,IOS,
03567C18-EC38-4A51-AD35-65D8ADACF0EF,90,2017-12-05T16:23:52.157Z,87,40.71,New York,-74.01,1022,55.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,0.0,4.0,,IOS,
03817C89-1E06-492A-A5ED-AFDE8612C06E,40,2018-02-03T16:01:07.035Z,62,41.13999938964844,New City,-73.98999786376953,1029,21.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,32186,,260.0,13.0,10956,IOS,
03B00035-A25A-4590-94F7-090CC9E614D9,1,2017-10-31T11:39:36.937Z,75,40.92,Yonkers,-73.91,1016,43.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,257.50299072265625,9.0,10705,IOS,
04b593d0-5dd7-11e7-8932-b96748e46eb9,75,2017-06-30T20:59:33.646Z,66,41.2,Haverstraw,-73.97,1012,87.37,1,,24140,,250.0,5.82,,Alexa,
04e01fe0-5dcf-11e7-a931-a7582745470f,40,2017-06-30T20:02:17.951Z,49,41.2,Haverstraw,-73.97,1013,88.7,1,,16093,,210.0,16.11,,Alexa,
066774CF-9E45-46A8-8173-A8D415A38931,90,2017-11-13T15:00:06.457Z,81,40.71,New York,-74.01,1028,40.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,9656,,0.0,4.0,,IOS,
0689E459-C7F3-4ED7-8582-58FF1C10B3D4,75,2017-06-04T20:03:11.134Z,55,41.11,Airmont,-74.13,1014,61.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,120.0,5.0,10901,IOS,
06C101F9-0816-4BD6-91FB-0C12E0CB88F9,75,2018-01-22T20:59:58.253Z,87,41.150001525878906,New City,-73.98999786376953,1020,44.0,0,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,6437,,110.0,10.0,10956,IOS,
089b4cf0-0db4-11e8-85a5-7b68377429cd,75,2018-02-09T16:12:32.448Z,54,41.2,Haverstraw,-73.97,1034,28.51,1,,16093,,210.0,5.82,,Alexa,
0993D858-7457-4732-B5AE-EE27CB5E7DA9,75,2017-10-24T11:22:25.289Z,78,41.09,Sleepy Hollow,-73.87,1011,70.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,160.0,21.0,10591,IOS,
0A70BD70-1425-4A54-A085-59EBADD00A98,90,2017-06-14T14:16:28.604Z,64,40.76,Weehawken,-74.0,1016,72.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,31.5002,4.0,10018,IOS,
0A9AC29F-5A3B-4435-81EB-EEA1E0A439D7,1,2017-12-01T15:11:33.055Z,57,41.2,West Haverstraw,-73.99,1021,47.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,320.0,11.0,10923,IOS,
0D961A90-E453-4F9D-8DFF-2BB48D0033F6,90,2017-11-09T12:32:02.178Z,100,41.2,West Haverstraw,-73.99,1024,34.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,402,,77.00189971923828,1.0,10923,IOS,
0DE7EA1E-BF23-4C5C-A21C-1035D5348BC1,90,2018-01-17T13:31:05.144Z,89,41.20000076293945,West Haverstraw,-73.98999786376953,1025,31.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,1207,,0.0,3.0,10923,IOS,
0bf7cb20-9894-11e7-8905-e34c19e368d7,20,2017-09-13T14:58:48.183Z,64,41.2,Haverstraw,-73.97,1014,69.8,1,,16093,,300.0,3.36,,Alexa,
0cdd8d50-fc57-11e7-bc96-4112a1e00448,20,2018-01-18T13:54:06.630Z,67,41.2,Haverstraw,-73.97,1017,12.65,1,,16093,,300.0,8.05,,Alexa,
0dfdd420-5dd7-11e7-8932-b96748e46eb9,75,2017-06-30T20:59:49.218Z,66,41.2,Haverstraw,-73.97,1012,87.37,1,,24140,,250.0,5.82,10927,Alexa,
10359DDE-8F4D-4A07-9ED7-8F5F8F9896B8,75,2017-12-22T17:41:05.820Z,69,41.19,Mount Ivy,-74.04,1023,37.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,120.0,9.0,10970,IOS,
116A9C18-4AC3-4C06-83DC-46FCD731776A,1,2017-09-04T14:05:45.977Z,60,41.2,Thiells,-74.01,1015,67.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,260.0,9.0,10984,IOS,
14632E2C-254F-4757-967F-4DDBDE93988D,90,2018-01-12T14:31:56.878Z,100,41.20000076293945,West Haverstraw,-73.98999786376953,1015,58.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,2816,,170.0,8.0,10923,IOS,
15965858-8AEA-4B84-9E50-29D4DD4F51DF,90,2017-09-06T14:14:40.619Z,88,40.71,New York,-74.01,1013,67.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,9656,,300.0,8.0,10002,IOS,
15EC1E45-57DC-4723-8833-7E7016C5F812,20,2017-11-07T12:13:18.860Z,69,41.16,Ossining,-73.87,1022,39.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,360.0,8.0,10562,IOS,
1676D99B-FC5C-4771-8C66-52E848B5F0B3,90,2017-07-10T13:08:09.491Z,53,40.73,Hoboken,-74.03,1019,69.0,1,DvGx1A7L7wNN9Han9GjEm08Mb7t2,16093,,280.0,5.0,07310,IOS,
19ABE3BD-BA48-4000-985D-BD670F93EFAF,1,2017-06-11T19:31:36.480Z,31,40.67,Bayonne,-74.12,1016,90.0,1,DvGx1A7L7wNN9Han9GjEm08Mb7t2,16093,,280.0,9.0,07002,IOS,
1A7DBD92-8409-4134-9C5A-70751D267445,90,2017-05-28T17:54:08.015Z,68,41.2,West Haverstraw,-73.99,1014,71.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,32186,,180.0,11.0,10923,IOS,
1A9E11C6-8F6C-4C13-8430-CA708FC0A655,90,2017-05-30T13:10:16.219Z,87,40.71,New York,-74.01,1022,55.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,8047,,160.0,8.0,,IOS,
1C68FA64-B69F-48C7-9809-62EC3845F1B8,90,2017-09-18T10:46:10.625Z,100,41.19,Mount Ivy,-74.04,1020,66.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,2816,,56.00120162963867,2.0,10970,IOS,
1C8A8A09-C300-4D9D-B8C3-6F27255074BF,75,2017-12-16T21:21:58.839Z,59,41.1,Nanuet,-74.01,1015,35.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,260.0,10.0,10954,IOS,
