,clouds,date,humidity,pressure,temp,type,visibility,windDeg,windSpeed,zipcode
0,90,2017-06-16T15:22:38.745Z,82,1015,65,1,16093,130,6,7310
1,90,2017-05-29T14:36:44.802Z,100,1014,56,1,4828,116.501,3,10923
3,1,2017-10-31T11:39:36.937Z,75,1016,43,1,16093,257.50299072265625,9,10705
4,75,2017-06-30T20:59:33.646Z,66,1012,87.37,1,24140,250,5.82,10927
5,40,2017-06-30T20:02:17.951Z,49,1013,88.7,1,16093,210,16.11,10927
7,75,2017-06-04T20:03:11.134Z,55,1014,61,1,16093,120,5,10901
8,75,2017-10-24T11:22:25.289Z,78,1011,70,1,16093,160,21,10591
9,90,2017-06-14T14:16:28.604Z,64,1016,72,1,16093,31.5002,4,10018
10,1,2017-12-01T15:11:33.055Z,57,1021,47,1,16093,320,11,10923
11,90,2017-11-09T12:32:02.178Z,100,1024,34,1,402,77.00189971923828,1,10923
12,20,2017-09-13T14:58:48.183Z,64,1014,69.8,1,16093,300,3.36,10927
13,75,2017-06-30T20:59:49.218Z,66,1012,87.37,1,24140,250,5.82,10927
14,75,2017-12-22T17:41:05.820Z,69,1023,37,1,16093,120,9,10970
15,1,2017-09-04T14:05:45.977Z,60,1015,67,0,16093,260,9,10984
16,90,2017-09-06T14:14:40.619Z,88,1013,67,1,9656,300,8,10002
17,20,2017-11-07T12:13:18.860Z,69,1022,39,1,16093,360,8,10562
18,90,2017-07-10T13:08:09.491Z,53,1019,69,0,16093,280,5,7310
21,90,2017-05-30T13:10:16.219Z,87,1022,55,1,8047,160,8,10002
22,90,2017-09-18T10:46:10.625Z,100,1020,66,0,2816,56.00120162963867,2,10970
23,75,2017-12-16T21:21:58.839Z,59,1015,35,1,16093,260,10,10954
24,1,2017-10-26T10:29:31.079Z,66,1005,51,1,16093,317.5,8,7645
26,1,2017-10-20T11:39:17.507Z,76,1019,50,0,16093,230,3,10923
27,20,2017-10-06T15:15:07.932Z,68,1019,72,1,16093,300,5,10923
29,1,2017-11-01T11:23:43.719Z,74,1024,37.18,1,16093,332.001,2.04,10927
30,40,2017-06-10T20:26:49.165Z,42,1015,83.91,1,16093,220,12.75,10923
31,1,2017-06-11T11:33:30.648Z,68,1019,69,1,16093,260,3,10901
32,90,2017-06-20T01:24:02.296Z,94,1011,70.9,1,3219,180,6.93,10923
33,75,2017-10-24T15:47:52.783Z,73,1009,73,1,16093,180,14,10002
34,90,2017-06-06T20:20:22.131Z,82,1009,57,1,16093,130,8,10965
35,1,2017-06-14T21:34:39.796Z,42,1015,81,0,16093,140,10,10954
