"|","|__coffeechooser__base","|__coffeechooser__clouds__all","|__coffeechooser__cod","|__coffeechooser__coord__lat","|__coffeechooser__coord__lon","|__coffeechooser__device","|__coffeechooser__dt","|__coffeechooser__id","|__coffeechooser__main__humidity","|__coffeechooser__main__pressure","|__coffeechooser__main__temp","|__coffeechooser__main__temp_max","|__coffeechooser__main__temp_min","|__coffeechooser__name","|__coffeechooser__sys__country","|__coffeechooser__sys__id","|__coffeechooser__sys__message","|__coffeechooser__sys__sunrise","|__coffeechooser__sys__sunset","|__coffeechooser__sys__type","|__coffeechooser__visibility","|__coffeechooser__weather__description","|__coffeechooser__weather__icon","|__coffeechooser__weather__id","|__coffeechooser__weather__main","|__coffeechooser__wind__deg","|__coffeechooser__wind__gust","|__coffeechooser__wind__speed","|__clouds","|__date","|__device","|__humidity","|__lat","|__location","|__lon","|__pressure","|__temp","|__type","|__userId","|__visibility","|__weatherCond","|__windDeg","|__windSpeed"
"01EAB7E7-D5EB-407A-A307-CC8CEF6AB7F0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-16T15:22:38.745Z","","82","40.73","Hoboken","-74.04","1015","65","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","130","6"
"0230E916-2DDC-4721-AC51-441FD7A60F39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-29T14:36:44.802Z","","100","41.2","West Haverstraw","-73.99","1014","56","1","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","4828","","116.501","3"
"04b593d0-5dd7-11e7-8932-b96748e46eb9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-30T20:59:33.646Z","Alexa","66","41.2","Haverstraw","-73.97","1012","87.37","1","","24140","","250","5.82"
"04e01fe0-5dcf-11e7-a931-a7582745470f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-30T20:02:17.951Z","Alexa","49","41.2","Haverstraw","-73.97","1013","88.7","1","","16093","","210","16.11"
"0689E459-C7F3-4ED7-8582-58FF1C10B3D4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-04T20:03:11.134Z","","55","41.11","Airmont","-74.13","1014","61","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","120","5"
"0A70BD70-1425-4A54-A085-59EBADD00A98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-14T14:16:28.604Z","","64","40.76","Weehawken","-74","1016","72","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","31.5002","4"
"0dfdd420-5dd7-11e7-8932-b96748e46eb9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-30T20:59:49.218Z","Alexa","66","41.2","Haverstraw","-73.97","1012","87.37","1","","24140","","250","5.82"
"1676D99B-FC5C-4771-8C66-52E848B5F0B3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-10T13:08:09.491Z","","53","40.73","Hoboken","-74.03","1019","69","2","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","280","5"
"19ABE3BD-BA48-4000-985D-BD670F93EFAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-11T19:31:36.480Z","","31","40.67","Bayonne","-74.12","1016","90","2","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","280","9"
"1A7DBD92-8409-4134-9C5A-70751D267445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-28T17:54:08.015Z","","68","41.2","West Haverstraw","-73.99","1014","71","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","32186","","180","11"
"1A9E11C6-8F6C-4C13-8430-CA708FC0A655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-30T13:10:16.219Z","","87","40.71","New York","-74.01","1022","55","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","8047","","160","8"
"1b85e070-8e3c-11e7-bd7e-576539d05eac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-31T11:04:06.904Z","Alexa","82","41.2","Haverstraw","-73.97","1013","60.57","1","","16093","","280","4.7"
"218690c0-4e1b-11e7-ae62-f93346813335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-10T20:26:49.165Z","Alexa","42","41.2","Garnerville","-74","1015","83.91","1","","16093","","220","12.75"
