,clouds,humidity,temp,type,visibility,windSpeed,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
5e81c340-5c58-11e8-98f1-f9cb26664818,90,73,78.0,0,20.0,14.0,0,1,0,0,0,0,0,0
A91D414A-9EA1-49AB-9F80-CFCE71CCAE02,1,51,83.0,0,10.0,9.0,0,0,0,0,1,0,0,0
992BC9A2-4A2A-487C-AC14-6F4E105BE593,1,86,58.0,1,10.0,8.0,0,0,1,0,0,0,0,0
DDE7BA3F-E789-40A7-A178-AE53ECCABE09,1,55,56.0,1,10.0,5.0,1,0,0,0,0,0,0,0
25991960-43cc-11e8-96ff-a7b85c3c4a63,90,93,40.0,1,10.0,6.0,0,0,0,0,1,0,0,0
32D59833-4F1A-4B5A-B918-37FE14F74D32,90,83,73.0,1,10.0,5.0,0,1,0,0,0,0,0,0
760EA2BF-8830-4FB7-9052-DDE367CABF69,75,61,80.0,0,10.0,9.0,0,1,0,0,0,0,0,0
C1EAA5B3-2249-439A-B583-C47045297BD1,1,31,61.0,1,10.0,5.0,1,0,0,0,0,0,0,0
2F66D457-348B-459C-A90C-B47033FEC601,1,80,39.0,1,10.0,3.0,1,0,0,0,0,0,0,0
728B1810-9B2E-44AE-B074-6FFFC19A9877,90,96,65.0,1,0.0,2.0,0,0,0,0,1,0,0,0
845DCD45-DE90-4BD6-92D2-69E60EE674C7,1,57,76.0,0,10.0,11.0,1,0,0,0,0,0,0,0
3924B07B-276F-41A8-8649-A9AC1C7C9662,40,63,72.0,0,10.0,4.0,0,1,0,0,0,0,0,0
0CE94166-3774-4B7F-8ACD-B243FFCFD24F,75,59,34.0,1,10.0,16.0,0,1,0,0,0,0,0,0
2A570C86-76C3-4CBF-A1A0-C3E3B668275A,1,82,54.0,1,10.0,3.0,1,0,0,0,0,0,0,0
7278e460-4591-11e8-8d30-9d937caa58e6,1,26,57.0,1,10.0,13.0,1,0,0,0,0,0,0,0
4E53E0F5-332E-4729-9BA5-36BC7302A19C,20,64,69.0,1,10.0,3.0,0,1,0,0,0,0,0,0
b0fe6350-8e57-11e7-ab57-434a57339273,1,60,73.0,1,10.0,13.0,0,1,0,0,0,0,0,0
D0CE3082-16B9-470E-9C29-D86054D49373,1,65,45.0,1,10.0,9.0,1,0,0,0,0,0,0,0
04e01fe0-5dcf-11e7-a931-a7582745470f,40,49,89.0,1,10.0,16.0,0,1,0,0,0,0,0,0
048313B1-8AC3-4A0A-871A-4D101EC5F673,1,55,88.0,0,10.0,3.0,0,0,0,1,0,0,0,0
9909925B-8595-4293-B945-748EECBCCCE7,1,78,75.0,1,10.0,2.0,1,0,0,0,0,0,0,0
DE620CEF-6D85-40B5-8CF7-BE05B08A215A,1,43,86.0,1,10.0,8.0,0,1,0,0,0,0,0,0
6DC2B870-E479-4751-8F9D-7AB34B84909F,90,96,68.0,1,0.0,3.0,0,0,0,0,1,0,0,0
d2134ea0-1e14-11e8-95a0-5bbfe3c5219b,90,93,37.0,1,2.0,15.0,0,0,0,0,1,0,0,0
55dabb20-6ca2-11e8-9c4c-6bc6149ed15c,90,46,63.0,0,10.0,8.0,0,0,0,0,1,0,0,0
75EB9D2F-16C1-4EA3-A69C-C6144A89FDDD,90,100,55.0,1,1.0,2.0,0,0,1,0,0,0,0,0
14AFB1F7-E18A-4C82-9420-82F7BFD7BC3F,75,78,81.0,0,10.0,3.0,0,1,0,0,0,0,0,0
F785FFE6-7670-4712-99EB-93D93BD3485A,90,100,68.0,1,0.0,2.0,0,1,0,0,0,0,0,0
AAB50B18-FA4C-4999-9783-D66530BE21A7,1,54,86.0,0,10.0,8.0,1,0,0,0,0,0,0,0
82E49C4C-E773-41E8-B24E-A1C3679C75AD,1,35,55.0,1,10.0,11.0,0,1,0,0,0,0,0,0
C00212CF-4B2F-40CC-BDB1-0632F227BF97,75,97,72.0,1,1.0,4.0,0,0,0,0,1,0,0,0
16b65900-47b2-11e8-ac1f-75495df9c8b2,1,93,39.0,1,10.0,3.0,0,0,1,0,0,0,0,0
16ECF5B5-A636-456C-B57A-41B36CC37DBE,40,78,78.0,0,10.0,6.0,0,1,0,0,0,0,0,0
82A24876-7333-4404-B6EA-ACA8E83DADA7,75,60,71.0,0,20.0,3.0,0,1,0,0,0,0,0,0
AD57FE49-751F-4C5A-B00A-B14DF0CD4B40,75,77,64.0,1,10.0,3.0,0,1,0,0,0,0,0,0
465179C2-EAAB-447E-B88A-1070AC66155D,40,73,70.0,0,10.0,9.0,0,0,1,0,0,0,0,0
5daa3c50-0b35-11e8-b1d2-5dcd230ca1f3,75,85,24.0,1,10.0,3.0,0,1,0,0,0,0,0,0
3E460211-0462-455C-98AA-7507D9121750,90,93,60.0,1,3.0,6.0,0,0,0,0,1,0,0,0
92D72557-3B05-4D34-A36E-7E637BD5260A,40,48,63.0,1,10.0,4.0,0,1,0,0,0,0,0,0
91099B06-0D43-410D-8ABB-3062B9552235,1,55,61.0,0,10.0,12.0,1,0,0,0,0,0,0,0
5F2CA68D-C846-462C-BB32-7A6E464B6AEC,75,77,63.0,0,10.0,4.0,0,0,0,0,1,0,0,0
FF557CE3-5CA3-4524-A7C5-23E50D53841F,75,58,29.0,1,10.0,11.0,0,1,0,0,0,0,0,0
804BFFBC-57F7-47A8-B6DE-AB135070530E,1,100,64.0,0,10.0,3.0,1,0,0,0,0,0,0,0
efd9f770-23a7-11e8-be98-b79d93696854,40,69,32.0,1,10.0,14.0,0,0,0,0,0,0,1,0
C5976E55-5275-4E9C-928F-E0CB9690A1F8,1,56,71.0,1,10.0,3.0,0,1,0,0,0,0,0,0
b4cecda0-1c30-11e8-85f7-5344188dbeaf,90,100,57.0,1,3.0,9.0,0,0,0,0,1,0,0,0
73C57677-B73F-40E3-9BE0-B2F9F9E14B5E,90,93,64.0,1,7.0,11.0,0,1,0,0,0,0,0,0
EDB4F26A-A897-4827-B43E-93E8B63C6D4B,40,67,19.0,1,10.0,13.0,0,1,0,0,0,0,0,0
9c216f70-5f41-11e8-aa40-d5a9fbd0c8d8,5,93,59.0,0,15.0,6.0,1,0,0,0,0,0,0,0
CDD09461-6C89-413F-8AA2-7C5FE623D7E5,90,67,56.0,1,10.0,9.0,0,1,0,0,0,0,0,0
B1C1AEF7-C735-4FAC-90D8-320E39F68AC0,75,87,61.0,0,10.0,10.0,0,0,0,0,1,0,0,0
944c97c0-2f8a-11e8-a339-a38e4cbff0fa,1,29,46.0,1,10.0,13.0,1,0,0,0,0,0,0,0
F7888805-4CB8-41E6-A653-8A77A4EBB651,40,78,84.0,0,0.0,3.0,0,1,0,0,0,0,0,0
0A70BD70-1425-4A54-A085-59EBADD00A98,90,64,72.0,1,10.0,4.0,0,1,0,0,0,0,0,0
1DFAAB89-072A-4CCF-BA26-72A9F55CCC23,40,59,61.0,1,10.0,5.0,0,1,0,0,0,0,0,0
CEE6A9B7-DAF7-4DE0-8B21-21DC4A0CCFAB,75,100,64.0,0,3.0,6.0,0,0,0,0,1,0,0,0
B5FE9CA4-7080-41CA-9871-7FD90A1D9E75,90,81,53.0,1,8.0,8.0,0,0,0,0,1,0,0,0
60BB8ACD-314E-4860-A3ED-751102E287BE,75,100,61.0,1,1.0,2.0,0,0,0,0,1,0,0,0
15965858-8AEA-4B84-9E50-29D4DD4F51DF,90,88,67.0,1,6.0,8.0,0,0,0,0,1,0,0,0
5f159ad0-6ad1-11e7-908f-4b064f587a76,1,87,56.0,1,10.0,6.0,0,1,0,0,0,0,0,0
e16a5790-f150-11e7-aa07-2b123bcc26bc,90,92,22.0,1,1.0,28.0,0,0,0,0,0,0,1,0
883794BE-E950-408E-84F2-A4978BDB07B6,75,88,71.0,1,10.0,5.0,0,1,0,0,0,0,0,0
7eb56230-6086-11e7-be36-e17cbde4202e,90,94,61.0,0,10.0,5.0,0,1,0,0,0,0,0,0
